SDIC01,B2130000666P
SDIC02,B2030000148P
SDIC04,B2130000664P
SDMM01,B120012001268P
SDRP01,B120012001139P
SDSU01,B2030000104P
SDSU02,B2030000257P
SDSU03,B2130000665P
SDSU04,B2030000402P
SDSU05,B2030000397P
SDSU06,B2030000392P
SDSU07,B2030000391P
SDSU08,B2030000396P
SDSU09,B2030000403P
SDSU10,B2030000401P
SDSU11,B2030000394P
SDSU12,B2030000400P
SDSU13,B2030000393P
SDSU14,B2030000398P
SDSU16,B2030000390P
SDSU17,B2030000389P
SAM-SERVER,SAM-SERVER
SWUS,B2030000399P
ZAP,B2130000663P
ZAP,B2030000146P
SP1344,B120012000869P
SP1345,BSP1345P
SD0504,B120012000754P
SP0053,B2130001476P
SP0066,BSP0066P
LOGIN PC,Blogin_PCP_test
LOGOUT PC,B120012000993P
DGTE-167158,BDGTE-167158P
PC7528,BPC7528P
Disposed PC,B120012000974P
2 SAG,C2130000358P
SP0019,BSP0019P
SD0505,B120012000865P
SD0001,B120012000981P
SD0002,B120012001159P
SD0003,B120012000878P
SD0004,B120012000999P
SD0005,B120012001002P
SD0006,B120012001180P
SD0007,B120012001175P
SD0008,B2030000252P
SD0009,B120012001184P
SD0010,B120012001152P
SD0011,B120012001177P
SD0012,B120012001001P
SD0013,B2030000238P
SD0014,B120012000980P
SD0015,B120012000979P
SD0016,B120012001172P
SD0017,B2030000253P
SD0018,B120012001005P
SD0019,B120012001265P
SD0020,B120012001279P
SD0021,B120012001278P
SD0022,B16001100205P
SD0023,B16001100184P
SD0024,B16001100125P
SD0025,B16001100192P
SD0026,B16001100032P
SD0027,B16001100140P
SD0028,B16001100228P
SD0029,B16001100154P
SD0030,B16001100138P
SD0031,B120012001276P
SD0032,B120012001251P
SD0033,B16001100241P
SD0034,B16001100213P
SD0035,B16001100137P
SD0036,B16001100227P
SD0037,B120012001193P
SD0038,B16001100214P
SD0039,B16001100129P
SD0040,B16001100130P
SD0041,B120012001080P
SD0042,B120012001245P
SD0043,B120012001281P
SD0044,B120012001256P
SD0045,B16001100051P
SD0046,B120012001209P
SD0047,B2030000101P
SD0048,B120012001246P
SD0049,B2030000246P
SD0050,B16001100095P
SD0051,B16001100014P
SD0052,B120012001249P
SD0053,B120012001266P
SD0054,B120012001253P
SD0055,B120012001250P
SD0056,B120012001244P
SD0057,BSD0057P
SD0058,BSD0058P
SD0059,B120012001248P
SD0060,B120012001070P
SD0061,B120012001204P
SD0062,B120012001262P
SD0063,B120012001153P
SD0064,B120012001151P
SD0065,B120012001127P
SD0066,B120012001073P
SD0067,B120012001071P
SD0068,B120012001270P
SD0069,B16001100056P
SD0070,B2030000102P
SD0071,B120012000852P
SD0072,B120012001208P
SD0073,B120012001254P
SD0074,BSD0074P
SD0075,B120012001008P
SD0076,B16001100167P
SD0077,B16001100229P
SD0078,B120012000908P
SD0079,BSD0079P
SD0080,B120012001178P
SD0081,B120012001211P
SD0082,B120012001124P
SD0083,B120012001074P
SD0084,B120012001259P
SD0085,BSD0085P
SD0086,B120012001215P
SD0087,B120012001277P
SD0088,B120012001164P
SD0089,B120012001240P
SD0090,B120012001154P
SD0091,B120012001169P
SD0092,B120012001181P
SD0093,B120012001072P
SD0094,B120012001176P
SD0095,B120012001199P
SD0096,B16001100186P
SD0097,B16001100220P
SD0098,B16001100168P
SD0099,B16001100225P
SD0100,B120012000982P
SD0101,B16001100259P
SD0102,B16001100209P
SD0103,B16001100065P
SD0104,B16001100010P
